id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14831696,Luxurious & spacecious apartm. with garden 6sleep,5476119,Arthur,,De Baarsjes - Oud-West,52.3611730497892,4.866754581739126,Entire home/apt,145,3,4,2016-12-31,0.68,1,241
3951251,Great app near Jordaan +2 bikes,3526186,Dirk & Arjenne,,De Baarsjes - Oud-West,52.370236556174326,4.859506674315041,Entire home/apt,88,2,17,2017-02-23,0.56,1,47
16590973,"Trendy apartment, near Vondelpark",12749039,Sheryl,,De Baarsjes - Oud-West,52.36201575763558,4.866872459545214,Entire home/apt,130,2,4,2017-03-26,2.40,1,129
9283701,Modern apartment in Amsterdam West,46755996,Christie,,De Baarsjes - Oud-West,52.36582592746048,4.85817797345153,Entire home/apt,110,4,2,2016-08-09,0.24,2,0
6458721,(Balcony with) canal view Oud-West,15317293,Erwin,,De Baarsjes - Oud-West,52.364179286353576,4.864884849638229,Entire home/apt,115,3,10,2016-12-11,0.46,1,3
14864447,Nicest and coziest place next to Vondelpark&Leidse,11831975,Ruben,,De Baarsjes - Oud-West,52.35975307569654,4.8661760481193586,Private room,70,1,11,2016-11-01,1.59,1,188
16306240,Adorable house with garden in popular 'Old West',1954292,Cécile,,De Baarsjes - Oud-West,52.36787038920259,4.864128892864146,Entire home/apt,120,2,3,2017-02-01,0.98,1,19
15211538,Very quiet room | King Bed | Close to the center,96012374,Kosma,,De Baarsjes - Oud-West,52.373409699824016,4.865153997664172,Private room,45,1,33,2017-04-02,5.27,1,4
1261425,"Lovely Budget B&B, 1 or 2 persons",5476779,Janine,,De Baarsjes - Oud-West,52.37364211749479,4.8605128208925645,Private room,45,1,2,2013-07-04,0.04,3,0
5978154,Charming apartment canal view ,3849885,Ayten,,De Baarsjes - Oud-West,52.36869081487618,4.87370817499014,Entire home/apt,240,2,13,2016-08-09,0.56,1,89
10691231,Lovely apartment in West Amsterdam,55234825,Joshua,,De Baarsjes - Oud-West,52.37142386976222,4.848644115131147,Entire home/apt,130,3,0,,,1,0
8024854,Your 'own' place in old Amsterdam,42374252,Rochelle And Thijs,,De Baarsjes - Oud-West,52.369840710648965,4.871609848129173,Entire home/apt,185,3,18,2017-03-28,1.45,1,44
6606330,Central Amsterdam Beautiful Apt close 2 Vondelpark,33889727,Kris,,De Baarsjes - Oud-West,52.35825578214267,4.855552857881219,Entire home/apt,145,4,4,2016-10-25,0.18,1,236
1551034,Twilight Twinkle luxury apartment.,8261153,Jose,,De Baarsjes - Oud-West,52.366903029124636,4.875590282324502,Entire home/apt,300,1,44,2016-10-24,1.02,1,29
17229308,Room for 2 in canal view apartment,6339419,Diane,,De Baarsjes - Oud-West,52.36987249534939,4.8644143074188255,Private room,85,2,0,,,1,0
2117111,Easy accessible 2 bdrm apartment with big garden.,4398501,Martin,,De Baarsjes - Oud-West,52.360384556538875,4.85359774282282,Entire home/apt,179,2,1,2017-04-02,1,1,344
17312436,|Warm and charming apt in Amsterdam Oud -West|,116828085,Reinder,,De Baarsjes - Oud-West,52.36107402729757,4.852444997270488,Entire home/apt,205,2,2,2017-03-26,2,1,287
5317273,Beautiful family house at park,25685776,Paul,,De Baarsjes - Oud-West,52.36433142391331,4.872225283054026,Entire home/apt,175,5,1,2015-05-17,0.04,1,0
76459,Yellow Studio Palamedes Amsterdam,400896,Edwin + Karin,,De Baarsjes - Oud-West,52.363423840635214,4.875577270761364,Private room,110,4,11,2017-01-02,0.15,2,269
6667963,Design Loft near Vondelpark,3668744,Jaap,,De Baarsjes - Oud-West,52.36315367294443,4.863677536768249,Entire home/apt,120,2,27,2017-03-13,1.22,1,28
9424352,"Warm,lovely,new furnished apartment",48858241,Margot,,De Baarsjes - Oud-West,52.371166508240364,4.853362177001773,Entire home/apt,120,3,10,2016-12-31,0.62,1,0
931801,A cosy apartment in Amsterdam!,5020505,Michèle,,De Baarsjes - Oud-West,52.361041843746726,4.863302655405397,Entire home/apt,130,1,115,2016-12-30,2.37,1,91
