id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10988680,"Simple, new, clean accommodation",2448592,Georgy,,Mission,37.7541839478958,-122.4065137873994,Private room,49,1,1,2016-02-23,0.07,1,0
8053481,Spacious 2BR/2BATH w/Shared Kitchen,14419919,David & Barbara,,Mission,37.75416620694072,-122.42153361123903,Entire home/apt,220,3,9,2016-07-27,0.49,1,45
14011173,Private room - Victorian House in the Mission,4901696,Donald,,Mission,37.758505841987684,-122.40615234615572,Private room,100,7,2,2016-08-27,0.27,3,0
16142131,Spacious 1BR in the Mission District,50491424,Avishai,,Mission,37.75654875319113,-122.42202512272395,Entire home/apt,117,4,2,2017-03-06,0.48,1,0
9080622,Edwardian flat in heart of Mission,46158576,Cindy,,Mission,37.76005055162609,-122.42135244186619,Private room,200,2,0,,,1,0
936209,Sunny Room w/Roofdeck @Dolores Park,1124557,Hannah,,Mission,37.759494875174084,-122.42487369983884,Private room,162,2,63,2017-02-19,1.27,1,352
7048973,Boutique Condo in the Mission,3990472,Dana,,Mission,37.76099686978345,-122.41312370743405,Entire home/apt,230,2,7,2016-08-13,0.35,1,231
7998215,Pretty & Relaxing Bedroom with Bathroom,21235706,Stephanie & Tom,,Mission,37.75054282250833,-122.41655854238532,Private room,173,1,50,2017-03-29,2.56,2,332
12815115,Spacious Mission Condo,22537583,Anna,,Mission,37.75628817825092,-122.40873765927407,Entire home/apt,600,1,0,,,2,0
10406646,Bright Skylight-Filled 2 Bedroom in the Mission,338939,Joyce,,Mission,37.757246417145325,-122.40931471446184,Entire home/apt,250,2,41,2017-02-18,2.77,3,15
4558566,Charming Mission Victorian 3bd/2ba,1937186,Omar,,Mission,37.74932934983145,-122.41079246439557,Entire home/apt,300,3,23,2017-01-09,0.83,2,128
